"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5755.37920336918","6901.82854415296","8528.35823098788","10070.1610251598","10969.0290555902","12035.7375423909","12509.5783165552","13210.3363524846","14352.1929340297","14476.1152543027","14559.5300955493","15636.0999761779","16895.9073790569","16912.1407684565","18248.9376335433","17924.2660045014","16915.3049459589","18164.6251446341","19509.9015902075","16248.2009749753","20641.7996301439","19490.8706448733","23289.3564663596","21404.7237269492","19830.5424266053","20055.9698119153","21094.2649847929","21961.9152823848","22980.6557441699","23867.8822097501","24040.2968948649","24368.1420265494","","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","151.056406021373","154.062884455772","131.204688721636","138.482512944815","167.459356623859","178.99215203078","189.123895690491","214.624028376112","236.925790303396","262.566770561107","258.278165300261","251.44960771815","","","","","","","","","","","","","","","","","","","","","","","","","","","","411.427684011819","511.897840896953","557.080700513673","605.291234102589","602.65186812044","580.857377658814","553.26538580187","489.101790986775","501.824388577074","473.313462636821","490.232352907166","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","521.80507781551","541.476814326082","458.766781364258","433.709221600792","636.013625370857","541.837903246848","668.57558418896","66.837943134484","95.3512411469953","26.2356892720497","186.654141263928","184.322251692984","260.368007992907","269.475130439544","164.491952359805","207.366867579509","265.468106139649","559.032783902411","663.298373739908","676.237832018976","918.108271565714","1245.07369897237","1377.58239463426","1288.33904136881","1755.07527662166","1742.40068164757","2285.7405450324","2733.04922387364","3053.72885047864","3470.10214061379","3119.03295805835","2633.77598727386","2866.86669161278","2000.54843996643","1700.31867436366","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","464.958527530341","461.961591274956","552.286337391504","518.144561706272","503.977022187277","529.085970211277","475.232378383748","250.912339186285","139.196710071411","317.205646975103","509.150451143286","668.479729427041","914.036271405642","642.238707993505","748.65163460843","948.273098039024","1039.491859388","1192.47197172882","1311.94916216929","1703.46876151897","2169.41602946925","2436.98353685481","2738.06414376139","3230.76877422348","3834.48120022468","3515.17877507678","3498.34200500817","3733.57520015255","3508.38080725258","3765.18141533392","3850.05355925335","3272.39414689327","3448.32456927155","3722.95418204581","4326.33059600216","4319.48763879351","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1320.32101076943","1438.16505427429","1440.78477567221","1333.55803314078","1294.83281618738","1250.79949587897","1220.07860699137","1224.30012697277","1204.23391328893","1188.1980368425","1631.13307896437","1568.63904636081","1698.889915865","1664.62540595265","1634.29748033971","1723.01007303757","1845.42920327238","1931.31273638564","1887.75040142708","1955.35283666844","2080.04574827722","2063.35910202393","2055.11889859309","2217.45394320991","2519.09500324672","2907.5668724638","3412.93004660402","3959.74585759428","4786.89054437303","4215.75445351973","4766.81639360678","5372.00763946429","5896.98153804814","6032.38196417656","6074.86979047565","5422.92115118257","5259.91858106619","5181.95018878966","5466.04400876239","5510.6364759459","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30445.5014914307","29044.088689177","28201.9791240539","29583.6733275416","32194.6575930806","33305.4017866633","35914.2303782106","36678.3946078902","37374.3211751314","27384.909607289","30498.6164019821","34547.2230977804","36052.8819875916","37911.615635763","39308.3219610084","35646.0841717031","35478.2890961566","37734.4460946926","40019.9718614744","39305.7675610754","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1194.732789511","1301.24305272683","1294.89183381334","1965.73100421245","2641.06072192204","1889.56094305574","1782.30207910291","1941.48325431283","1945.13143851427","2226.34473943503","2407.81962603941","2394.39454237686","2472.14821015729","3025.46632572009","2266.42671391335","2489.04909836808","3174.45142775018","3104.73472108112","3485.87636561671","1924.15171923966","3690.90498998027","5033.70443565924","6069.19823530661","6190.05897182452","6582.19505091936","6397.54939682783","6698.72021995267","7079.59722163213","7119.68796110165","6555.85763705208","6437.67054445203","5996.25149139285","1983.41288960516","2678.7267770572","3172.48366303904","3776.75390925379","4869.51169305168","6098.40591260422","7565.00943455208","6834.65547874368","8614.98987838247","10687.8063952378","10827.7308081891","10836.2931686952","10212.7922967185","11677.2886946738","10803.6422710125","12497.7305065883","9676.81110681212","8160.57202868847","",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401.753992729767","441.796756962914","470.965565586988","536.366794298455","522.656185507258","541.854660288742","605.537828346569","679.837685877488","817.902918574839","1067.99366903472","1482.72728337505","1978.99768973099","2905.99275965056","3771.19137543302","2749.52858349344","2924.46058666678","3164.50131307092","3332.08680686321","3562.0420975366","3653.79037186121","3241.93065600279","3172.82422639776","3522.83773145263","3685.72225348248","4024.13447663026","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
