Country,Country Code,People using  safely managed drinking water services  % of population 2017,People using  safely managed sanitation services  % of population 2017,Access to electricity  % of population 2017,Renewable energy consumption  % of total final energy consumption 2015,Expenditures for R&D  % of GDP 2015,Urban population living in slums  % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings  % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014,Nationally protected terrestrial and marine areas  % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017
Afghanistan,AFG,NA,NA,97.7,18.4,NA,62.7,56.3,2.7,0.3,0.1,10,13.5
Albania,ALB,70,39.9,100,38.6,NA,NA,18.2,8.2,2,13.5,2.8,71.8
Algeria,DZA,NA,17.7,100,0.1,0.5,NA,39.9,21.2,3.7,7.1,1.4,47.7
American Samoa,ASM,12.6,NA,NA,0.9,NA,NA,12.4,NA,NA,8.7,7.2,NA
Andorra,AND,90.6,100,100,19.7,NA,NA,10.3,NA,5.8,26.7,0,91.6
Angola,AGO,NA,NA,41.9,49.6,0,55.5,31.8,-16.3,1.3,5,4.8,14.3
Antigua and Barbuda,ATG,NA,NA,100,0,NA,NA,18.5,NA,5.7,0.3,10.3,76
Argentina,ARG,NA,NA,100,10,0.6,16.7,13.8,5.4,4.8,7.4,6.5,74.3
Armenia,ARM,86.5,48.2,100,15.8,0.3,14.4,32.2,1.5,1.9,23.1,2.6,64.7
Aruba,ABW,NA,NA,100,6.7,NA,NA,NA,NA,8.4,0.1,1.9,97.2
Australia,AUS,NA,75.6,100,9.2,1.9,NA,8.6,5.6,15.4,29.7,1,86.5
Austria,AUT,98.9,96.7,100,34.4,3,NA,12.6,14.1,6.9,28.4,0.5,87.9
Azerbaijan,AZE,73.6,NA,100,2.3,0.2,NA,20.2,9.5,3.9,5.5,2.3,79
"Bahamas, The",BHS,NA,NA,100,1.2,NA,NA,17.7,7.1,6.5,8.6,37.7,85
Bahrain,BHR,99,96,100,0,0.1,NA,69.9,20.4,23.5,1.7,0.5,95.9
Bangladesh,BGD,55.4,NA,88,34.7,NA,55.1,60.1,24.5,0.5,4.9,2.5,15
Barbados,BRB,NA,NA,100,2.8,NA,NA,23.5,NA,4.5,0,10.9,81.8
Belarus,BLR,94.5,80.5,100,6.8,0.5,NA,18.9,21.2,6.7,9.4,3.6,74.4
Belgium,BEL,99.5,97.1,100,9.2,2.5,NA,12.8,12,8.3,24.6,2,87.7
Belize,BLZ,NA,NA,98.3,35,NA,10.8,23.1,-0.9,1.4,20.6,33.1,47.1
Benin,BEN,NA,NA,43.1,50.9,NA,61.5,38.4,-3.4,0.6,23.5,1.1,20
Bermuda,BMU,NA,NA,100,2.4,0.2,NA,11.7,NA,8.8,0,6.5,98.4
Bhutan,BTN,36.2,NA,97.7,86.9,NA,NA,37.2,23.3,1.4,48,1.5,48.1
Bolivia,BOL,NA,22.9,91.8,17.5,NA,43.5,21.4,0.8,1.9,30.9,6.3,43.8
Bosnia and Herzegovina,BIH,88.8,21.6,100,40.8,0.2,NA,27.6,NA,6.4,1.4,1.6,64.9
Botswana,BWA,NA,NA,62.8,28.9,0.5,NA,23.6,26.6,3.4,29.1,NA,47
Brazil,BRA,NA,49.3,100,43.8,1.3,22.3,12.7,6.1,2.6,28.6,28.4,67.5
Brunei Darussalam,BRN,NA,NA,100,0,NA,NA,5.9,34.6,22.2,9,0.5,94.9
Bulgaria,BGR,96.9,64.4,100,17.7,1,NA,19.3,14.8,5.9,28.3,1.8,63.4
Burkina Faso,BFA,NA,NA,25.5,74.2,0.7,65.8,41.5,-9,0.2,14.9,0.6,16
